Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T093_001,SE_T095_001,SE_T095_002,SE_T095_003,SE_T101_001,SE_T114_001,SE_T114_002,SE_T114_003,SE_T115_001,SE_T115_002,SE_T115_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T142_001
"29510101100","14000US29510101100","Census Tract 1011, St. Louis city, Missouri","Census Tract 1011, St. Louis city, Missouri","mo","140","00","ACSSF","0005622",,,,,"29","510",,,,"101100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514,2514,2323,1940,133,31,73,0,0,146,191,45,0,0,0,0,146,0,1186,1186,1067,119,106600,440,111,329,1684,156,1528,390,15,375,901
"29510101200","14000US29510101200","Census Tract 1012, St. Louis city, Missouri","Census Tract 1012, St. Louis city, Missouri","mo","140","00","ACSSF","0005623",,,,,"29","510",,,,"101200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376,3376,3290,2856,233,158,32,0,0,11,86,86,0,0,0,0,0,0,1546,1546,1478,68,133000,620,113,507,2245,268,1977,495,42,453,1141
"29510101300","14000US29510101300","Census Tract 1013, St. Louis city, Missouri","Census Tract 1013, St. Louis city, Missouri","mo","140","00","ACSSF","0005624",,,,,"29","510",,,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972,3972,3929,3292,539,0,32,0,0,66,43,42,0,1,0,0,0,0,2168,2168,1844,324,135300,654,0,654,2770,164,2606,548,14,534,1407
"29510101400","14000US29510101400","Census Tract 1014, St. Louis city, Missouri","Census Tract 1014, St. Louis city, Missouri","mo","140","00","ACSSF","0005625",,,,,"29","510",,,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711,2711,2605,1559,779,7,114,86,0,60,106,88,0,5,0,0,13,0,1455,1455,1148,307,107800,505,221,284,1923,374,1549,283,5,278,734
"29510101500","14000US29510101500","Census Tract 1015, St. Louis city, Missouri","Census Tract 1015, St. Louis city, Missouri","mo","140","00","ACSSF","0005626",,,,,"29","510",,,,"101500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937,3937,3654,1720,1732,23,33,0,0,146,283,248,4,0,0,0,31,0,1812,1812,1453,359,64200,1190,506,684,2475,800,1675,225,36,189,371
"29510101800","14000US29510101800","Census Tract 1018, St. Louis city, Missouri","Census Tract 1018, St. Louis city, Missouri","mo","140","00","ACSSF","0005627",,,,,"29","510",,,,"101800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3102,3102,2755,1608,1012,13,0,0,0,122,347,347,0,0,0,0,0,0,1596,1596,1202,394,86300,811,335,476,1994,510,1484,297,31,266,435
"29510102100","14000US29510102100","Census Tract 1021, St. Louis city, Missouri","Census Tract 1021, St. Louis city, Missouri","mo","140","00","ACSSF","0005628",,,,,"29","510",,,,"102100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2774,2774,2593,2129,355,0,0,0,12,97,181,73,0,11,0,0,97,0,1740,1740,1534,206,118000,410,73,337,1974,205,1769,390,8,382,599
"29510102200","14000US29510102200","Census Tract 1022, St. Louis city, Missouri","Census Tract 1022, St. Louis city, Missouri","mo","140","00","ACSSF","0005629",,,,,"29","510",,,,"102200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5966,5966,5697,5490,54,16,96,0,0,41,269,253,0,0,0,0,0,16,3083,3083,2958,125,162600,736,31,705,4280,195,4085,936,58,878,2172
"29510102300","14000US29510102300","Census Tract 1023, St. Louis city, Missouri","Census Tract 1023, St. Louis city, Missouri","mo","140","00","ACSSF","0005630",,,,,"29","510",,,,"102300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,2027,1943,1695,31,0,173,0,19,25,84,70,14,0,0,0,0,0,911,911,888,23,121100,302,92,210,1441,270,1171,272,24,248,677
"29510102400","14000US29510102400","Census Tract 1024, St. Louis city, Missouri","Census Tract 1024, St. Louis city, Missouri","mo","140","00","ACSSF","0005631",,,,,"29","510",,,,"102400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579,2579,2421,2258,163,0,0,0,0,0,158,124,0,0,0,0,0,34,1201,1201,1132,69,110000,496,262,234,1815,388,1427,243,51,192,585
"29510102500","14000US29510102500","Census Tract 1025, St. Louis city, Missouri","Census Tract 1025, St. Louis city, Missouri","mo","140","00","ACSSF","0005632",,,,,"29","510",,,,"102500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092,2092,1906,1748,93,23,0,0,0,42,186,27,0,0,0,0,58,101,1029,1029,1012,17,118500,345,51,294,1422,184,1238,309,44,265,603
"29510103100","14000US29510103100","Census Tract 1031, St. Louis city, Missouri","Census Tract 1031, St. Louis city, Missouri","mo","140","00","ACSSF","0005633",,,,,"29","510",,,,"103100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3097,3097,3027,2771,196,0,11,0,26,23,70,10,26,0,0,0,34,0,1917,1917,1659,258,186000,484,115,369,2201,216,1985,412,9,403,898
"29510103400","14000US29510103400","Census Tract 1034, St. Louis city, Missouri","Census Tract 1034, St. Louis city, Missouri","mo","140","00","ACSSF","0005634",,,,,"29","510",,,,"103400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876,1876,1844,1734,62,5,5,0,0,38,32,32,0,0,0,0,0,0,947,947,892,55,137700,244,0,244,1418,123,1295,214,10,204,618
"29510103600","14000US29510103600","Census Tract 1036, St. Louis city, Missouri","Census Tract 1036, St. Louis city, Missouri","mo","140","00","ACSSF","0005635",,,,,"29","510",,,,"103600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317,1317,1295,1130,37,49,11,0,7,61,22,17,0,0,0,0,5,0,689,689,612,77,120400,326,111,215,858,122,736,133,38,95,452
"29510103700","14000US29510103700","Census Tract 1037, St. Louis city, Missouri","Census Tract 1037, St. Louis city, Missouri","mo","140","00","ACSSF","0005636",,,,,"29","510",,,,"103700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,2572,2468,2178,154,0,45,0,0,91,104,104,0,0,0,0,0,0,1408,1408,1260,148,134000,443,12,431,1859,157,1702,270,53,217,806
"29510103800","14000US29510103800","Census Tract 1038, St. Louis city, Missouri","Census Tract 1038, St. Louis city, Missouri","mo","140","00","ACSSF","0005637",,,,,"29","510",,,,"103800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3837,3837,3669,3258,283,0,86,0,0,42,168,82,0,0,0,0,86,0,1880,1880,1731,149,160000,664,27,637,2691,85,2606,475,35,440,1284
"29510104200","14000US29510104200","Census Tract 1042, St. Louis city, Missouri","Census Tract 1042, St. Louis city, Missouri","mo","140","00","ACSSF","0005638",,,,,"29","510",,,,"104200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281,3281,3119,2705,120,12,202,0,10,70,162,120,0,0,0,18,24,0,2026,2026,1756,270,132500,317,70,247,2565,323,2242,343,18,325,819
"29510104500","14000US29510104500","Census Tract 1045, St. Louis city, Missouri","Census Tract 1045, St. Louis city, Missouri","mo","140","00","ACSSF","0005639",,,,,"29","510",,,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685,1685,1657,1257,132,1,241,0,0,26,28,28,0,0,0,0,0,0,1384,1384,940,444,121600,122,7,115,1391,240,1151,171,0,171,391
"29510105198","14000US29510105198","Census Tract 1051.98, St. Louis city, Missouri","Census Tract 1051.98, St. Louis city, Missouri","mo","140","00","ACSSF","0005640",,,,,"29","510",,,,"105198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3534,3534,3415,2442,606,0,334,0,0,33,119,103,0,0,0,0,16,0,1984,1984,1625,359,330400,313,6,307,2741,765,1976,470,82,388,790
"29510105200","14000US29510105200","Census Tract 1052, St. Louis city, Missouri","Census Tract 1052, St. Louis city, Missouri","mo","140","00","ACSSF","0005641",,,,,"29","510",,,,"105200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,3020,2990,1169,1488,0,209,0,0,124,30,30,0,0,0,0,0,0,1675,1675,1476,199,186700,370,16,354,2282,349,1933,363,36,327,535
"29510105300","14000US29510105300","Census Tract 1053, St. Louis city, Missouri","Census Tract 1053, St. Louis city, Missouri","mo","140","00","ACSSF","0005642",,,,,"29","510",,,,"105300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528,2528,2483,195,2167,0,41,0,0,80,45,45,0,0,0,0,0,0,1536,1536,1159,377,170500,566,167,399,1572,508,1064,364,34,330,414
"29510105400","14000US29510105400","Census Tract 1054, St. Louis city, Missouri","Census Tract 1054, St. Louis city, Missouri","mo","140","00","ACSSF","0005643",,,,,"29","510",,,,"105400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361,2361,2104,102,1840,0,0,0,0,162,257,190,0,0,0,3,45,19,1182,1182,876,306,65400,771,296,475,1393,333,1060,187,75,112,121
"29510105500","14000US29510105500","Census Tract 1055, St. Louis city, Missouri","Census Tract 1055, St. Louis city, Missouri","mo","140","00","ACSSF","0005644",,,,,"29","510",,,,"105500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806,2806,2792,86,2667,0,12,0,0,27,14,14,0,0,0,0,0,0,1538,1538,1080,458,160900,500,219,281,1957,436,1521,339,80,259,527
"29510106100","14000US29510106100","Census Tract 1061, St. Louis city, Missouri","Census Tract 1061, St. Louis city, Missouri","mo","140","00","ACSSF","0005645",,,,,"29","510",,,,"106100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,1830,1823,22,1796,0,0,5,0,0,7,7,0,0,0,0,0,0,1270,1270,789,481,61200,449,278,171,1053,405,648,328,88,240,301
"29510106200","14000US29510106200","Census Tract 1062, St. Louis city, Missouri","Census Tract 1062, St. Louis city, Missouri","mo","140","00","ACSSF","0005646",,,,,"29","510",,,,"106200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,1436,1436,14,1396,0,0,0,0,26,0,0,0,0,0,0,0,0,860,860,521,339,43800,559,470,89,707,416,291,160,27,133,189
"29510106300","14000US29510106300","Census Tract 1063, St. Louis city, Missouri","Census Tract 1063, St. Louis city, Missouri","mo","140","00","ACSSF","0005647",,,,,"29","510",,,,"106300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407,1407,1396,13,1356,5,5,0,0,17,11,0,0,0,0,0,3,8,1108,1108,565,543,54600,349,111,238,836,210,626,222,42,180,259
"29510106400","14000US29510106400","Census Tract 1064, St. Louis city, Missouri","Census Tract 1064, St. Louis city, Missouri","mo","140","00","ACSSF","0005648",,,,,"29","510",,,,"106400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032,2032,2032,22,1994,0,0,0,0,16,0,0,0,0,0,0,0,0,1549,1549,900,649,49200,395,226,169,1355,420,935,282,22,260,330
"29510106500","14000US29510106500","Census Tract 1065, St. Louis city, Missouri","Census Tract 1065, St. Louis city, Missouri","mo","140","00","ACSSF","0005649",,,,,"29","510",,,,"106500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,2712,2694,114,2548,0,0,0,0,32,18,9,0,0,0,0,0,9,1543,1543,1013,530,49500,456,143,313,1448,356,1092,386,65,321,421
"29510106600","14000US29510106600","Census Tract 1066, St. Louis city, Missouri","Census Tract 1066, St. Louis city, Missouri","mo","140","00","ACSSF","0005650",,,,,"29","510",,,,"106600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1770,1740,18,1650,9,30,0,0,33,30,30,0,0,0,0,0,0,939,939,672,267,51400,363,200,163,1134,432,702,246,98,148,266
"29510106700","14000US29510106700","Census Tract 1067, St. Louis city, Missouri","Census Tract 1067, St. Louis city, Missouri","mo","140","00","ACSSF","0005651",,,,,"29","510",,,,"106700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121,3121,3120,1,3063,0,0,0,0,56,1,1,0,0,0,0,0,0,1994,1994,1325,669,71300,699,474,225,2015,899,1116,385,94,291,565
"29510107200","14000US29510107200","Census Tract 1072, St. Louis city, Missouri","Census Tract 1072, St. Louis city, Missouri","mo","140","00","ACSSF","0005652",,,,,"29","510",,,,"107200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,1364,1364,5,1340,0,7,0,12,0,0,0,0,0,0,0,0,0,670,670,511,159,53400,375,203,172,795,281,514,188,26,162,240
"29510107300","14000US29510107300","Census Tract 1073, St. Louis city, Missouri","Census Tract 1073, St. Louis city, Missouri","mo","140","00","ACSSF","0005653",,,,,"29","510",,,,"107300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4568,4568,4531,55,4397,19,0,0,9,51,37,0,37,0,0,0,0,0,2269,2269,1787,482,58400,845,365,480,2910,900,2010,754,132,622,1049
"29510107400","14000US29510107400","Census Tract 1074, St. Louis city, Missouri","Census Tract 1074, St. Louis city, Missouri","mo","140","00","ACSSF","0005654",,,,,"29","510",,,,"107400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2895,2895,28,2852,0,15,0,0,0,0,0,0,0,0,0,0,0,1306,1306,891,415,41500,795,440,355,1727,529,1198,343,85,258,519
"29510107500","14000US29510107500","Census Tract 1075, St. Louis city, Missouri","Census Tract 1075, St. Louis city, Missouri","mo","140","00","ACSSF","0005655",,,,,"29","510",,,,"107500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192,2192,2192,25,2145,6,11,0,0,5,0,0,0,0,0,0,0,0,1318,1318,818,500,42800,310,197,113,1444,318,1126,438,110,328,569
"29510107600","14000US29510107600","Census Tract 1076, St. Louis city, Missouri","Census Tract 1076, St. Louis city, Missouri","mo","140","00","ACSSF","0005656",,,,,"29","510",,,,"107600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021,2021,48,1968,0,0,0,0,5,0,0,0,0,0,0,0,0,1185,1185,826,359,53400,417,108,309,1304,435,869,261,70,191,473
"29510108100","14000US29510108100","Census Tract 1081, St. Louis city, Missouri","Census Tract 1081, St. Louis city, Missouri","mo","140","00","ACSSF","0005657",,,,,"29","510",,,,"108100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3208,3208,3207,101,3073,16,0,0,0,17,1,0,0,0,0,0,0,1,1507,1507,1100,407,68800,835,472,363,1838,549,1289,509,34,475,641
"29510108200","14000US29510108200","Census Tract 1082, St. Louis city, Missouri","Census Tract 1082, St. Louis city, Missouri","mo","140","00","ACSSF","0005658",,,,,"29","510",,,,"108200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421,2421,2421,52,2311,0,0,0,23,35,0,0,0,0,0,0,0,0,1277,1277,1111,166,79900,454,212,242,1413,332,1081,380,34,346,572
"29510108300","14000US29510108300","Census Tract 1083, St. Louis city, Missouri","Census Tract 1083, St. Louis city, Missouri","mo","140","00","ACSSF","0005659",,,,,"29","510",,,,"108300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049,2049,2027,126,1867,0,12,0,0,22,22,6,16,0,0,0,0,0,1084,1084,832,252,58200,475,185,290,1326,307,1019,239,24,215,481
"29510109600","14000US29510109600","Census Tract 1096, St. Louis city, Missouri","Census Tract 1096, St. Louis city, Missouri","mo","140","00","ACSSF","0005660",,,,,"29","510",,,,"109600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2986,2986,2943,68,2849,7,0,0,0,19,43,0,26,0,0,0,0,17,1648,1648,1196,452,73500,627,299,328,1582,387,1195,759,73,686,603
"29510109700","14000US29510109700","Census Tract 1097, St. Louis city, Missouri","Census Tract 1097, St. Louis city, Missouri","mo","140","00","ACSSF","0005661",,,,,"29","510",,,,"109700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,2488,2433,227,2196,0,0,0,0,10,55,31,6,0,0,0,0,18,1567,1567,891,676,27900,827,553,274,1363,786,577,277,53,224,322
"29510110100","14000US29510110100","Census Tract 1101, St. Louis city, Missouri","Census Tract 1101, St. Louis city, Missouri","mo","140","00","ACSSF","0005662",,,,,"29","510",,,,"110100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936,2936,2886,30,2817,0,0,0,0,39,50,13,0,0,0,0,0,37,1647,1647,1181,466,56400,617,282,335,1783,538,1245,529,118,411,491
"29510110200","14000US29510110200","Census Tract 1102, St. Louis city, Missouri","Census Tract 1102, St. Louis city, Missouri","mo","140","00","ACSSF","0005663",,,,,"29","510",,,,"110200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1996,1996,0,1968,0,16,0,0,12,0,0,0,0,0,0,0,0,1462,1462,855,607,52900,363,180,183,1296,461,835,337,47,290,357
"29510110300","14000US29510110300","Census Tract 1103, St. Louis city, Missouri","Census Tract 1103, St. Louis city, Missouri","mo","140","00","ACSSF","0005664",,,,,"29","510",,,,"110300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2018,1998,30,1968,0,0,0,0,0,20,20,0,0,0,0,0,0,1563,1563,934,629,56800,364,197,167,1420,413,1007,234,32,202,366
"29510110400","14000US29510110400","Census Tract 1104, St. Louis city, Missouri","Census Tract 1104, St. Louis city, Missouri","mo","140","00","ACSSF","0005665",,,,,"29","510",,,,"110400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,2012,2012,19,1976,0,0,17,0,0,0,0,0,0,0,0,0,0,1423,1423,955,468,61600,397,247,150,1232,394,838,383,71,312,432
"29510110500","14000US29510110500","Census Tract 1105, St. Louis city, Missouri","Census Tract 1105, St. Louis city, Missouri","mo","140","00","ACSSF","0005666",,,,,"29","510",,,,"110500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,1038,1038,14,1012,0,0,0,7,5,0,0,0,0,0,0,0,0,902,902,470,432,48200,185,162,23,667,294,373,186,34,152,223
"29510111100","14000US29510111100","Census Tract 1111, St. Louis city, Missouri","Census Tract 1111, St. Louis city, Missouri","mo","140","00","ACSSF","0005667",,,,,"29","510",,,,"111100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859,1859,1859,75,1763,0,0,0,0,21,0,0,0,0,0,0,0,0,924,924,665,259,78900,387,278,109,1228,524,704,124,18,106,212
"29510111200","14000US29510111200","Census Tract 1112, St. Louis city, Missouri","Census Tract 1112, St. Louis city, Missouri","mo","140","00","ACSSF","0005668",,,,,"29","510",,,,"111200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,934,913,55,847,0,3,0,5,3,21,5,6,0,0,0,5,5,627,627,338,289,51900,156,123,33,592,301,291,108,32,76,143
"29510111300","14000US29510111300","Census Tract 1113, St. Louis city, Missouri","Census Tract 1113, St. Louis city, Missouri","mo","140","00","ACSSF","0005669",,,,,"29","510",,,,"111300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349,1349,1349,4,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,1146,761,385,70600,178,30,148,796,230,566,363,60,303,224
"29510111400","14000US29510111400","Census Tract 1114, St. Louis city, Missouri","Census Tract 1114, St. Louis city, Missouri","mo","140","00","ACSSF","0005670",,,,,"29","510",,,,"111400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358,1358,1358,11,1316,0,31,0,0,0,0,0,0,0,0,0,0,0,789,789,469,320,54800,441,258,183,810,190,620,102,35,67,193
"29510111500","14000US29510111500","Census Tract 1115, St. Louis city, Missouri","Census Tract 1115, St. Louis city, Missouri","mo","140","00","ACSSF","0005671",,,,,"29","510",,,,"111500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,694,694,1,677,0,0,0,0,16,0,0,0,0,0,0,0,0,453,453,260,193,63700,216,103,113,382,158,224,95,17,78,134
"29510112100","14000US29510112100","Census Tract 1121, St. Louis city, Missouri","Census Tract 1121, St. Louis city, Missouri","mo","140","00","ACSSF","0005672",,,,,"29","510",,,,"112100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,4556,4436,3001,1057,24,258,0,0,96,120,91,0,0,0,0,16,13,2792,2792,2409,383,557600,620,14,606,3356,592,2764,505,17,488,954
